"No","Source Key","Category","Topic","Difficulty","Question","Option A","Option B","Option C","Option D","Correct Label","Correct Answer","Explanation","Catatan Semakan"
"26","tips-pksk-2026-B-026","Pengetahuan Am","Pengetahuan Am","medium","Ibu negara Malaysia ialah…","Johor Bahru","Putrajaya","Kuala Lumpur","Shah Alam","C","Kuala Lumpur","",""
"27","tips-pksk-2026-B-027","Sains","Sains dan Alam Sekitar","medium","Planet paling hampir dengan Matahari ialah…","Marikh","Zuhrah","Utarid","Bumi","C","Utarid","",""
"28","tips-pksk-2026-B-028","Pengetahuan Am","Pengetahuan Am","medium","Warna Jalur Gemilang yang melambangkan perpaduan ialah…","Merah","Biru","Kuning","Putih","B","Biru","",""
"29","tips-pksk-2026-B-029","Pengetahuan Am","Pengetahuan Am","medium","Gunung tertinggi di Malaysia ialah…","Gunung Tahan","Gunung Ledang","Gunung Kinabalu","Gunung Jerai","C","Gunung Kinabalu","",""
"30","tips-pksk-2026-B-030","Sains","Sains dan Alam Sekitar","medium","Badan manusia memerlukan vitamin D untuk…","Mata sihat","Tulang kuat","Rambut lebat","Otot besar","B","Tulang kuat","",""
"31","tips-pksk-2026-B-031","Pengetahuan Am","Pengetahuan Am","medium","Sungai terpanjang di Malaysia ialah…","Sungai Rajang","Sungai Kinabatangan","Sungai Pahang","Sungai Perak","A","Sungai Rajang","",""
"32","tips-pksk-2026-B-032","Sains","Sains dan Alam Sekitar","medium","Simbol kimia bagi air ialah…","CO₂","H₂O","O₂","HO","B","H₂O","",""
"33","tips-pksk-2026-B-033","Sains","Sains dan Alam Sekitar","medium","Haiwan yang hanya makan tumbuhan dikenali sebagai…","Karnivor","Herbivor","Omnivor","Insektivor","B","Herbivor","",""
"34","tips-pksk-2026-B-034","Sains","Sains dan Alam Sekitar","medium","Proses tumbuhan membuat makanan sendiri ialah…","Respirasi","Fotosintesis","Perkumuhan","Pencernaan","B","Fotosintesis","",""
"35","tips-pksk-2026-B-035","Pengetahuan Am","Pengetahuan Am","medium","Bentuk muka bumi yang paling sesuai untuk penanaman padi ialah…","Pantai","Lembah","Tanah tinggi","Gurun","B","Lembah","",""
"36","tips-pksk-2026-B-036","Pengetahuan Am","Pengetahuan Am","medium","Benua terbesar di dunia ialah…","Afrika","Asia","Eropah","Amerika","B","Asia","",""
"37","tips-pksk-2026-B-037","Sains","Sains dan Alam Sekitar","medium","Peranti untuk mengukur suhu dipanggil…","Barometer","Termometer","Higrometer","Seismograf","B","Termometer","",""
"38","tips-pksk-2026-B-038","Sains","Sains dan Alam Sekitar","medium","Lapisan udara yang melindungi bumi daripada sinar UV ialah…","Stratosfera","Atmosfera","Ozon","Hujan Asid","C","Ozon","",""
"39","tips-pksk-2026-B-039","Pengetahuan Am","Pengetahuan Am","medium","Burung yang tidak boleh terbang ialah…","Murai","Helang","Kiwi","Layang-layang","C","Kiwi","",""
"40","tips-pksk-2026-B-040","Matematik","Matematik Logik","medium","Duit kertas RM50 berwarna…","Biru","Hijau","Oren","Merah","B","Hijau","",""
"41","tips-pksk-2026-B-041","Matematik","Matematik Logik","medium","Perdana Menteri Malaysia ke-10 ialah…","Ismail Sabri","Tun Mahathir","Anwar Ibrahim","Muhyiddin Yassin","C","Anwar Ibrahim","",""
"42","tips-pksk-2026-B-042","Pengetahuan Am","Pengetahuan Am","medium","Pencemaran udara paling banyak disebabkan oleh…","Kilang dan kenderaan","Pokok","Sungai","Tanah","A","Kilang dan kenderaan","",""
"43","tips-pksk-2026-B-043","Sains","Sains dan Alam Sekitar","medium","Kitaran air bermula dengan…","Hujan","Penguapan","Sungai","Simpanan air","B","Penguapan","",""
"44","tips-pksk-2026-B-044","Bahasa Melayu","Bahasa dan Peribahasa","medium","Peribahasa “bagai aur dengan tebing” membawa maksud…","Saling membantu","Saling bermusuhan","Hidup sederhana","Suka bersendirian","A","Saling membantu","",""
"45","tips-pksk-2026-B-045","Matematik","Matematik Logik","medium","1 Mei di Malaysia disambut sebagai…","Hari Guru","Hari Buruh","Hari Merdeka","Hari Malaysia","B","Hari Buruh","",""
"46","tips-pksk-2026-B-046","English","Bahasa Inggeris","medium","Choose the correct spelling:","Enviroment","Environment","Envaironment","Environmant","B","Environment","",""
"47","tips-pksk-2026-B-047","English","Bahasa Inggeris","medium","The opposite of “Brave” is…","Strong","Coward","Weak","Lazy","B","Coward","",""
"48","tips-pksk-2026-B-048","English","Bahasa Inggeris","medium","Which sentence is correct?","He go to school every day.","He goes to school every day.","He going to school every day.","He gone to school every day.","B","He goes to school every day.","",""
"49","tips-pksk-2026-B-049","English","Bahasa Inggeris","medium","“Sang” is the past tense of…","Sing","Song","Singing","Sung","A","Sing","",""
"50","tips-pksk-2026-B-050","English","Bahasa Inggeris","medium","The plural of “Child” is…","Childs","Children","Childrens","Childes","B","Children","",""
"51","tips-pksk-2026-B-051","English","Bahasa Inggeris","medium","Choose the word that means “Happy”:","Sad","Joyful","Angry","Sleepy","B","Joyful","",""
"52","tips-pksk-2026-B-052","English","Bahasa Inggeris","medium","Which is a fruit?","Carrot","Potato","Apple","Broccoli","C","Apple","",""
"53","tips-pksk-2026-B-053","English","Bahasa Inggeris","medium","Complete the sentence: “I reading a book now.”","am","is","are","be","A","am","",""
"54","tips-pksk-2026-B-054","English","Bahasa Inggeris","medium","“Library” is a place to…","Play football","Read books","Buy clothes","Cook food","B","Read books","",""
"55","tips-pksk-2026-B-055","English","Bahasa Inggeris","medium","Which of the following is a synonym for “Big”?","Small","Large","Tiny","Thin","B","Large","",""
"56","tips-pksk-2026-B-056","Pengetahuan Am","Pengetahuan Am","medium","Jika Utara di atas peta, arah kiri peta ialah…","Selatan","Barat","Timur","Tenggara","B","Barat","",""
"57","tips-pksk-2026-B-057","Matematik","Matematik Logik","medium","Jika 12 ekor burung di pokok dan 4 terbang pergi, tinggal…","6","7","8","9","C","8","",""
"58","tips-pksk-2026-B-058","Pengetahuan Am","Pengetahuan Am","medium","Negara jiran Malaysia yang mempunyai pulau Bali ialah…","Thailand","Indonesia","Brunei","Filipina","B","Indonesia","",""
"59","tips-pksk-2026-B-059","Pengetahuan Am","Pengetahuan Am","medium","Simbol mata wang Jepun ialah…","$","¥","€","₩","B","¥","",""
"60","tips-pksk-2026-B-060","Matematik","Matematik Logik","medium","Dalam pilihan jawapan ini, yang manakah bentuk geometri 3D?","Segi empat tepat","Silinder","Segi tiga","Bulatan","B","Silinder","",""
"61","tips-pksk-2026-B-061","Sains","Sains dan Alam Sekitar","medium","Perubahan iklim yang menyebabkan suhu bumi meningkat dipanggil…","Hujan asid","Pemanasan global","Fotosintesis","Gempa bumi","B","Pemanasan global","",""
"62","tips-pksk-2026-B-062","Matematik","Matematik Logik","medium","Jika ¼ daripada 80 pelajar ponteng, berapa pelajar hadir?","20","40","60","80","C","60","",""
"63","tips-pksk-2026-B-063","Bahasa Melayu","Bahasa dan Peribahasa","medium","Peribahasa “Sedikit-sedikit, lama-lama jadi bukit” membawa maksud…","Suka memanjat","Sikit-sikit lama jadi banyak","Hidup sederhana","Bukit yang tinggi","B","Sikit-sikit lama jadi banyak","",""
"64","tips-pksk-2026-B-064","Pengetahuan Am","Pengetahuan Am","medium","Peralatan yang digunakan untuk menyimpan fail digital ialah…","Cawan","Pemacu USB","Buku nota","Kalkulator","B","Pemacu USB","",""
"65","tips-pksk-2026-B-065","Sains","Sains dan Alam Sekitar","medium","Haiwan yang hidup di darat dan air ialah…","Singa","Katak","Burung Hantu","Ular Sawa","B","Katak","",""
"66","tips-pksk-2026-B-066","Bahasa Melayu","Bahasa dan Peribahasa","medium","Bahasa rasmi Pertubuhan Bangsa-Bangsa Bersatu bukan termasuk…","Inggeris","Arab","Jepun","Perancis","C","Jepun","",""
"67","tips-pksk-2026-B-067","Matematik","Matematik Logik","medium","9 × 9 – 9 = ?","72","81","90","99","A","72","",""
"68","tips-pksk-2026-B-068","Pengetahuan Am","Pengetahuan Am","medium","Bateri telefon dicas untuk…","Simpan tenaga","Hasilkan cahaya","Tukar data","Main muzik","A","Simpan tenaga","",""
"69","tips-pksk-2026-B-069","Sains","Sains dan Alam Sekitar","medium","Ikan bernafas menggunakan…","Hidung","Insang","Paru-paru","Kulit","B","Insang","",""
"70","tips-pksk-2026-B-070","Sains","Sains dan Alam Sekitar","medium","Organ yang mengepam darah dalam badan ialah…","Otak","Paru-paru","Jantung","Hati","C","Jantung","",""
